Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  [93] F64_mult_efficient (field_op.h:42 @ 400fa8) [40] _mm_aesenclast_si128 (wmmintrin.h:70 @ 402046) [169] _mm_slli_si128 (emmintrin.h:1155 @ 402532)
 [137] F64_mult_efficient (field_op.h:30 @ 400ff5) [113] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 402114) [126] _mm_slli_si128 (emmintrin.h:1155 @ 402568)
 [138] F64_mult_efficient (field_op.h:29 @ 400ff8) [46] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 402153) [170] _mm_slli_si128 (emmintrin.h:1155 @ 402575)
  [94] F64_mult_efficient (field_op.h:32 @ 401004) [24] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 402186) [49] _mm_xor_si128 (emmintrin.h:1251 @ 402015)
  [95] F64_mult_efficient (field_op.h:38 @ 40102a) [65] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 4021b9) [171] _mm_xor_si128 (emmintrin.h:1251 @ 40213e)
  [13] F64_mult_efficient (field_op.h:42 @ 401030) [51] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 4021ec) [172] _mm_xor_si128 (emmintrin.h:1251 @ 402147)
  [96] F64_mult_efficient (field_op.h:28 @ 401068) [29] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 40221f) [50] _mm_xor_si128 (emmintrin.h:1251 @ 40217a)
 [139] F64_mult_efficient (field_op.h:30 @ 40106e) [22] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 402252) [74] _mm_xor_si128 (emmintrin.h:1251 @ 4021ad)
 [140] F64_mult_efficient (field_op.h:29 @ 401071) [34] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 402285) [127] _mm_xor_si128 (emmintrin.h:1251 @ 402213)
 [141] F64_mult_efficient (field_op.h:30 @ 401079) [47] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 4022b8) [173] _mm_xor_si128 (emmintrin.h:1251 @ 40237f)
 [142] F64_mult_efficient (field_op.h:32 @ 40107d) [41] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 4022ee) [87] _mm_xor_si128 (emmintrin.h:1251 @ 40238e)
  [97] F64_mult_efficient (field_op.h:38 @ 4010a3) [85] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 402388) [75] _mm_xor_si128 (emmintrin.h:1251 @ 4023a4)
  [59] F64_mult_efficient (field_op.h:42 @ 4010a9) [66] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 4023ec) [76] _mm_xor_si128 (emmintrin.h:1251 @ 4023f2)
 [143] F64_mult_efficient (field_op.h:28 @ 4010e0) [52] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 40242c) [174] _mm_xor_si128 (emmintrin.h:1251 @ 402416)
  [98] F64_mult_efficient (field_op.h:30 @ 4010f1) [35] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 402490) [54] _mm_xor_si128 (emmintrin.h:1251 @ 402432)
  [99] F64_mult_efficient (field_op.h:32 @ 4010f5) [67] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 4024d0) [175] _mm_xor_si128 (emmintrin.h:1251 @ 40245e)
 [100] F64_mult_efficient (field_op.h:38 @ 401114) [20] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 402537) [176] _mm_xor_si128 (emmintrin.h:1251 @ 402487)
 [101] F64_mult_efficient (field_op.h:42 @ 401126) [21] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 40257a) [37] _mm_xor_si128 (emmintrin.h:1251 @ 402496)
 [144] F64_mult_efficient (field_op.h:36 @ 401222) [68] _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 4025dc) [177] _mm_xor_si128 (emmintrin.h:1251 @ 40249f)
 [145] F64_mult_efficient (field_op.h:38 @ 401226) [86] _mm_clmulepi64_si128 (wmmintrin.h:108 @ 400f05) [77] _mm_xor_si128 (emmintrin.h:1251 @ 4024d6)
 [146] F64_mult_efficient (field_op.h:32 @ 401280) [25] _mm_clmulepi64_si128 (wmmintrin.h:108 @ 400f43) [128] _mm_xor_si128 (emmintrin.h:1251 @ 4024e4)
 [147] F64_mult_efficient (field_op.h:34 @ 401290) [26] _mm_clmulepi64_si128 (wmmintrin.h:108 @ 400fcb) [129] _mm_xor_si128 (emmintrin.h:1251 @ 4024f5)
 [148] F64_mult_efficient (field_op.h:35 @ 401293) [11] _mm_clmulepi64_si128 (wmmintrin.h:108 @ 401043) [178] _mm_xor_si128 (emmintrin.h:1251 @ 402546)
 [102] F64_mult_efficient (field_op.h:38 @ 4012a6) [9] _mm_clmulepi64_si128 (wmmintrin.h:108 @ 4010bc) [180] main (prof.c:7 @ 400b80)
  [60] F64_mult_efficient (field_op.h:42 @ 4012ac) [114] _mm_clmulepi64_si128 (wmmintrin.h:108 @ 401172) [157] main (prof.c:12 @ 400bc7)
 [149] F64_mult_efficient (field_op.h:28 @ 4012e8) [12] _mm_clmulepi64_si128 (wmmintrin.h:108 @ 4011c3) [181] merkle_damgard (hash.c:383 @ 401530)
 [150] F64_mult_efficient (field_op.h:29 @ 4012eb) [30] _mm_clmulepi64_si128 (wmmintrin.h:108 @ 40124e) [158] merkle_damgard (hash.c:407 @ 4019ae)
 [103] F64_mult_efficient (field_op.h:28 @ 4012f1) [17] _mm_clmulepi64_si128 (wmmintrin.h:108 @ 4012c3) [112] merkle_damgard (hash.c:419 @ 401fe0)
 [104] F64_mult_efficient (field_op.h:32 @ 4012fd) [42] _mm_extract_epi64 (smmintrin.h:455 @ 400f60)
 [151] F64_mult_efficient (field_op.h:38 @ 40130a) [44] _mm_extract_epi64 (smmintrin.h:455 @ 401061)
